"","Year","School","Conf","Class","Pos","Games","Comp","Att","Pct","Pass Yards","Yards/Att","Adj Yards/Att","TD","Int","Rating"
"1","2014","Boise State","MWC","FR","QB","4","12","27","44.4","161","6.0","5.8","2","1","111.6"
"2","2015","Boise State","MWC","SO","QB","3","46","70","65.7","485","6.9","4.6","1","4","117.2"
"3","2016","North Carolina State","ACC","JR","QB","13","243","402","60.4","3059","7.6","7.6","18","8","135.2"
"4","2017","North Carolina State","ACC","JR","QB","13","311","478","65.1","3514","7.4","7.5","17","6","136.0"
"5","2018","North Carolina State","ACC","SR","QB","13","326","484","67.4","3928","8.1","8.1","25","11","148.0"
"6","Career","Overall","","","","","938","1461","64.2","11147","7.6","7.6","63","30","138.4"
"7","","Boise State","","","","","58","97","59.8","646","6.7","5.0","3","5","115.6"
"8","","North Carolina State","","","","","880","1364","64.5","10501","7.7","7.8","60","25","140.0"
